character,decomposition,etymology,radical,matches
邸,⿰氐阝,"{type: pictophonetic, phonetic: 氐, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[1],[1]]"
邹,⿰刍阝,"{type: pictophonetic, phonetic: 刍, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[1],[1]]"
邺,⿰业阝,"{type: pictophonetic, phonetic: 业, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[1],[1]]"
邻,⿰令阝,"{type: pictophonetic, phonetic: 令, semantic: 阝, hint: town}",阝,"[[0],[0],[0],[0],[0],[1],[1]]"
邾,⿰朱阝,"{type: pictophonetic, phonetic: 朱, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[1],[1]]"
郁,⿰有阝,"{type: pictophonetic, phonetic: 有, semantic: 阝, hint: city}",阝,"[[0],[0],[0],[0],[0],[0],[1],[1]]"
郄,⿰⿱乂厷阝,null,阝,"[[0,0],[0,0],[0,1],[0,1],[0,1],[0,1],[1],[1]]"
郅,⿰至阝,"{type: pictophonetic, phonetic: 至, semantic: 阝, hint: city}",阝,"[[0],[0],[0],[0],[0],[0],[1],[1]]"
郇,⿰旬阝,"{type: pictophonetic, phonetic: 旬, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[1],[1]]"
郊,⿰交阝,"{type: pictophonetic, phonetic: 交, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[1],[1]]"
郎,⿰良阝,"{type: ideographic, hint: A man from a good 良 place 阝;  良 also provides the pronunciation}",阝,"[[0],[0],[0],[0],[0],[0],[1],[1]]"
郏,⿰夹阝,"{type: pictophonetic, phonetic: 夹, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[1],[1]]"
郐,⿰会阝,"{type: pictophonetic, phonetic: 会, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[1],[1]]"
郑,⿰关阝,"{type: ideographic, hint: A city 阝 guarding a pass 关}",阝,"[[0],[0],[0],[0],[0],[0],[1],[1]]"
郓,⿰军阝,"{type: pictophonetic, phonetic: 军, semantic: 阝, hint: town}",阝,"[[0],[0],[0],[0],[0],[0],[1],[1]]"
郗,⿰希阝,"{type: pictophonetic, phonetic: 希, semantic: 阝, hint: city}",阝,"[[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郛,⿰孚阝,"{type: pictophonetic, phonetic: 孚, semantic: 阝, hint: city}",阝,"[[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郜,⿰告阝,"{type: pictophonetic, phonetic: 告, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郝,⿰赤阝,"{type: pictophonetic, phonetic: 赤, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郟,⿰夾阝,"{type: pictophonetic, phonetic: 夾, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郡,⿰君阝,"{type: pictophonetic, phonetic: 君, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郢,⿰呈阝,"{type: pictophonetic, phonetic: 呈, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郤,⿰谷阝,"{type: pictophonetic, phonetic: 阝, semantic: 谷, hint: valley}",阝,"[[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郦,⿰丽阝,"{type: pictophonetic, phonetic: 丽, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郧,⿰员阝,"{type: pictophonetic, phonetic: 员, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
部,⿰咅阝,"{type: pictophonetic, phonetic: 咅, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郫,⿰卑阝,"{type: pictophonetic, phonetic: 卑, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郭,⿰享阝,"{type: ideographic, hint: A tall building 享 at the edge of a city 阝}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郯,⿰炎阝,"{type: pictophonetic, phonetic: 炎, semantic: 阝, hint: city}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郴,⿰林阝,"{type: pictophonetic, phonetic: 林, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郵,⿰垂阝,"{type: pictophonetic, phonetic: 垂, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郸,⿰单阝,"{type: pictophonetic, phonetic: 单, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
都,⿰者阝,"{type: pictophonetic, phonetic: 者, semantic: 阝, hint: city}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
郾,⿰匽阝,"{type: pictophonetic, phonetic: 匽, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄂,⿰咢阝,"{type: pictophonetic, phonetic: 咢, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄄,⿰垔阝,"{type: pictophonetic, phonetic: 垔, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄆,⿰軍阝,"{type: pictophonetic, phonetic: 軍, semantic: 阝, hint: town}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄉,⿰乡郎,"{type: ideographic, hint: Two people  乡 and ⻏ hunched over a meal 良}",阝,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
鄋,⿰叟阝,"{type: pictophonetic, phonetic: 叟, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄒,⿰芻阝,"{type: pictophonetic, phonetic: 芻, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄖,⿰員阝,"{type: pictophonetic, phonetic: 員, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄙,⿰啚阝,"{type: pictophonetic, phonetic: 啚, semantic: 阝, hint: village}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄞,⿰堇阝,"{type: pictophonetic, phonetic: 堇, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄢,⿰焉阝,"{type: pictophonetic, phonetic: 焉, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄣,⿰章阝,"{type: pictophonetic, phonetic: 章, semantic: 阝, hint: city}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄦,⿰無阝,"{type: pictophonetic, phonetic: 無, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄧,⿰登阝,"{type: pictophonetic, phonetic: 登, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄭,⿰奠阝,"{type: ideographic, hint: A city 阝 guarding a pass 奠}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄯,⿰善阝,"{type: pictophonetic, phonetic: 善, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄰,⿰粦阝,"{type: pictophonetic, phonetic: 粦, semantic: 阝, hint: town}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄱,⿰番阝,"{type: pictophonetic, phonetic: 番, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄲,⿰單阝,"{type: pictophonetic, phonetic: 單, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄴,⿰業阝,"{type: pictophonetic, phonetic: 業, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
鄹,⿰聚阝,"{type: pictophonetic, phonetic: 聚, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
酃,⿰霝阝,"{type: pictophonetic, phonetic: 霝, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
酆,⿰豐阝,"{type: pictophonetic, phonetic: 豐, semantic: 阝, hint: place}",阝,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
酉,⿻兀日,"{type: pictographic, hint: A vessel half-filled with wine}",酉,"[[0],[1],[1],[0],[0],[1],[1]]"
酊,⿰酉丁,"{type: pictophonetic, phonetic: 丁, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
酋,⿱丷酉,"{type: pictographic, hint: A feathered crown}",酉,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
酌,⿰酉勺,"{type: pictophonetic, phonetic: 勺, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
配,⿰酉己,"{type: pictophonetic, phonetic: 己, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
酎,⿰酉寸,"{type: pictophonetic, phonetic: 寸, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
酏,⿰酉也,"{type: pictophonetic, phonetic: 也, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
酐,⿰酉干,"{type: pictophonetic, phonetic: 干, semantic: 酉, hint: chemical}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
酒,⿰氵酉,"{type: ideographic, hint: A jar 酉 of wine 氵; 酉 also provides the pronunciation}",酉,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
酕,⿰酉毛,"{type: pictophonetic, phonetic: 毛, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
酖,⿰酉冘,"{type: ideographic, hint: Suspect 冘 wine 酉}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
酗,⿰酉凶,"{type: ideographic, hint: A dangerous 凶 drunk 酉}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
酚,⿰酉分,"{type: pictophonetic, phonetic: 分, semantic: 酉, hint: chemical}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
酝,⿰酉云,"{type: pictophonetic, phonetic: 云, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
酞,⿰酉太,"{type: pictophonetic, phonetic: 太, semantic: 酉, hint: chemical}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
酡,⿰酉它,"{type: pictophonetic, phonetic: 它, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
酢,⿰酉乍,"{type: pictophonetic, phonetic: 乍, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
酣,⿰酉甘,"{type: pictophonetic, phonetic: 甘, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
酤,⿰酉古,"{type: pictophonetic, phonetic: 古, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
酥,⿰酉禾,"{type: pictophonetic, phonetic: 酉, semantic: 禾, hint: grain}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
酦,⿰酉发,"{type: pictophonetic, phonetic: 发, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
酩,⿰酉名,"{type: pictophonetic, phonetic: 名, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
酪,⿰酉各,"{type: pictophonetic, phonetic: 各, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
酬,⿰酉州,"{type: pictophonetic, phonetic: 州, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
酮,⿰酉同,"{type: pictophonetic, phonetic: 同, semantic: 酉, hint: chemical}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
酯,⿰酉旨,"{type: pictophonetic, phonetic: 旨, semantic: 酉, hint: chemical}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
酰,⿰酉先,"{type: pictophonetic, phonetic: 先, semantic: 酉, hint: chemical}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
酱,⿱⿰丬夕酉,"{type: pictophonetic, phonetic: 丬, semantic: 酉, hint: wine}",酉,"[[0,0],[0,0],[0,0],[0,1],[0,1],[0,1],[1],[1],[1],[1],[1],[1],[1]]"
酲,⿰酉呈,"{type: pictophonetic, phonetic: 呈, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
酴,⿰酉余,"{type: pictophonetic, phonetic: 余, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
酵,⿰酉孝,"{type: pictophonetic, phonetic: 孝, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
酶,⿰酉每,"{type: pictophonetic, phonetic: 每, semantic: 酉, hint: chemical}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
酷,⿰酉告,"{type: pictophonetic, phonetic: 告, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
酸,⿰酉夋,"{type: ideographic, hint: Wine 酉 aged too long 夋; 夋 also provides the pronunciation}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
酹,⿰酉寽,"{type: ideographic, hint: A pinch 寽 of wine 酉; 寽 also provides the pronunciation}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
酽,⿰酉严,"{type: ideographic, hint: Hard 严 liquor 酉; 严 also provides the pronunciation}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
酾,⿰酉丽,"{type: pictophonetic, phonetic: 丽, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
酿,⿰酉良,"{type: pictophonetic, phonetic: 良, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
醃,⿰酉奄,"{type: ideographic, hint: To leave 奄 meat in wine 酉; 奄 also provides the pronunciation}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
醄,⿰酉匋,"{type: pictophonetic, phonetic: 匋, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
醅,⿰酉咅,"{type: pictophonetic, phonetic: 咅, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
醇,⿰酉享,"{type: ideographic, hint: Wine 酉 fit to be savored 享}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
醉,⿰酉卒,"{type: pictophonetic, phonetic: 卒, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
醋,⿰酉昔,"{type: ideographic, hint: Aged 昔 wine 酉; wine gone sour}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
醌,⿰酉昆,"{type: pictophonetic, phonetic: 昆, semantic: 酉, hint: chemical}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
醍,⿰酉是,"{type: pictophonetic, phonetic: 是, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醐,⿰酉胡,"{type: pictophonetic, phonetic: 胡, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醑,⿰酉胥,"{type: pictophonetic, phonetic: 胥, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醒,⿰酉星,"{type: pictophonetic, phonetic: 星, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醚,⿰酉迷,"{type: pictophonetic, phonetic: 迷, semantic: 酉, hint: chemical}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醛,⿰酉荃,"{type: pictophonetic, phonetic: 荃, semantic: 酉, hint: chemical}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醜,⿰酉鬼,"{type: pictophonetic, phonetic: 酉, semantic: 鬼, hint: demon}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醞,⿰酉⿱囚皿,"{type: pictophonetic, phonetic: 皿, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1],[1,1]]"
醢,⿰酉⿱右皿,"{type: ideographic, hint: Meat 皿 left in wine 酉; 右 provides the pronunciation}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1],[1,1]]"
醣,⿰酉唐,"{type: pictophonetic, phonetic: 唐, semantic: 酉, hint: chemical}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醪,⿰酉翏,"{type: pictophonetic, phonetic: 翏, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醫,⿱殹酉,"{type: pictophonetic, phonetic: 殹, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
醬,⿱將酉,"{type: pictophonetic, phonetic: 將, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
醭,⿰酉菐,"{type: pictophonetic, phonetic: 菐, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醮,⿰酉焦,"{type: pictophonetic, phonetic: 焦, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醯,⿰酉⿱㐬皿,"{type: pictophonetic, phonetic: 㐬, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1],[1,1]]"
醱,⿰酉發,"{type: pictophonetic, phonetic: 發, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醴,⿰酉豊,"{type: pictophonetic, phonetic: 豊, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醵,⿰酉豦,"{type: pictophonetic, phonetic: 豦, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
醺,⿰酉熏,"{type: pictophonetic, phonetic: 熏, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
釀,⿰酉襄,"{type: pictophonetic, phonetic: 襄, semantic: 酉, hint: wine}",酉,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
釁,⿳興酉分,null,酉,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[2],[2],[2],[2]]"
釆,⿱丿米,"{type: ideographic, hint: Rice 米 ready to be picked}",釆,"[[0],[1],[1],[1],[1],[1],[1]]"
采,⿱爫木,"{type: ideographic, hint: A hand picking 爫 fruit from a tree 木}",釆,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
釉,⿰釆由,"{type: pictophonetic, phonetic: 由, semantic: 釆, hint: collect}",釆,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
释,⿰釆？,"{type: pictophonetic, phonetic: 睪, semantic: 釆, hint: collect}",釆,"[[0],[0],[0],[0],[0],[0],[0],null,null,null,null,null]"
釋,⿰釆睪,"{type: pictophonetic, phonetic: 睪, semantic: 釆, hint: collect}",釆,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
里,⿱田土,"{type: ideographic, hint: Unit of measure for farm 田 land 土}",里,"[[0],[0],[0],[0],[1],[1],[1]]"
重,⿻千里,"{type: ideographic, hint: A burden carried for a thousand 千 miles 里}",里,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
野,⿰里予,"{type: pictophonetic, phonetic: 予, semantic: 里, hint: village}",里,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
量,⿱旦里,"{type: pictophonetic, phonetic: 旦, semantic: 里, hint: unit}",里,"[[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
釐,⿱？厘,"{type: pictophonetic, phonetic: 厘}",里,"[null,null,null,null,null,null,null,null,null,[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
金,⿱人⿻王丷,"{type: pictographic, hint: A cast-iron bell}",金,"[[0],[0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,0]]"
釒,？,"{type: ideographic, hint: A cast-iron bell; compare 金}",釒,"[null,null,null,null,null,null,null,null]"
釗,⿰釒刂,"{type: ideographic, hint: A metal 釒 knife 刂; 刂 also provides the pronunciation}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
釘,⿰釒丁,"{type: ideographic, hint: A metal 釒 nail 丁; 丁 also provides the pronunciation}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
釜,⿻父金,"{type: pictophonetic, phonetic: 父, semantic: 金, hint: metal}",金,"[[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
針,⿰釒十,"{type: ideographic, hint: A metal 釒 pin 十}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
釣,⿰釒勺,"{type: ideographic, hint: A metal 釒 hook 勺; 勺 also provides the pronunciation}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
釦,⿰釒口,"{type: pictophonetic, phonetic: 口, semantic: 釒, hint: metal}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
釧,⿰釒川,"{type: pictophonetic, phonetic: 川, semantic: 釒, hint: metal}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
釩,⿰釒凡,"{type: pictophonetic, phonetic: 凡, semantic: 釒, hint: metal}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
釵,⿰釒叉,"{type: ideographic, hint: A metal 釒 fork 叉; 叉 also provides the pronunciation}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
釺,⿰釒千,"{type: ideographic, hint: A metal 釒 awl 千; 千 also provides the pronunciation}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
鈀,⿰釒巴,"{type: pictophonetic, phonetic: 巴, semantic: 釒, hint: metal}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
鈄,⿰釒斗,"{type: ideographic, hint: A metal 釒 flask 斗; 斗 also provides the pronunciation}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
鈆,⿰釒公,"{type: pictophonetic, phonetic: 公, semantic: 釒, hint: metal}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
鈉,⿰釒内,"{type: pictophonetic, phonetic: 内, semantic: 釒, hint: metal}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
鈍,⿰釒屯,"{type: pictophonetic, phonetic: 屯, semantic: 釒, hint: metal}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
鈎,⿰釒勾,"{type: ideographic, hint: A metal 釒 hook 勾; 勾 also provides the pronunciation}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
鈔,⿰釒少,"{type: pictophonetic, phonetic: 少, semantic: 釒, hint: money}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
鈕,⿰釒丑,"{type: pictophonetic, phonetic: 丑, semantic: 釒, hint: metal}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
鈞,⿰釒匀,"{type: pictophonetic, phonetic: 匀, semantic: 釒, hint: gold}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
鈣,⿰釒丐,"{type: pictophonetic, phonetic: 丐, semantic: 釒, hint: metal}",釒,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
