character,decomposition,etymology,radical,matches
夤,⿱夕寅,"{type: pictophonetic, phonetic: 寅, semantic: 夕, hint: night}",夕,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
夥,⿰果多,"{type: pictophonetic, phonetic: 果, semantic: 多, hint: more}",夕,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
大,⿻一人,"{type: ideographic, hint: A man 人 with outstretched arms}",大,"[[0],[1],[1]]"
天,⿱一大,"{type: ideographic, hint: The heavens 一 above a man 大}",大,"[[0],[1],[1],[1]]"
太,⿵大丶,"{type: ideographic, hint: A giant 大 with a normal-sized man 丶 for scale}",大,"[[0],[0],[0],[1]]"
夫,⿻一大,"{type: ideographic, hint: A man 大 wearing a coming-of-age hairpin 一}",大,"[[0],[1],[1],[1]]"
夬,⿻大？,null,大,"[null,[0],[0],[0]]"
夭,⿱丿大,"{type: pictographic, hint: A person with head tilted - leaning forward, running, energetic}",大,"[[0],[1],[1],[1]]"
央,⿻冂大,null,大,"[[0],[0],[1],[1],[1]]"
夯,⿱大力,"{type: ideographic, hint: A load that takes great 大 strength 力}",大,"[[0],[0],[0],[1],[1]]"
失,⿻丿夫,"{type: ideographic, hint: Something 丿 falling from a hand 夫}",大,"[[0],[1],[1],[1],[1]]"
夲,⿱大十,null,大,"[[0],[0],[0],[1],[1]]"
头,⿻⺀大,"{type: pictophonetic, semantic: 大, hint: high}",大,"[[0],[0],[1],[1],[1]]"
夷,⿻大弓,"{type: ideographic, hint: A man 大 armed with a bow 弓}",大,"[[0],[1],[1],[1],[0],[0]]"
夸,⿱大亏,"{type: pictophonetic, phonetic: 亏, semantic: 大, hint: great}",大,"[[0],[0],[0],[1],[1],[1]]"
夹,⿻夫丷,"{type: ideographic, hint: A person 夫 stuck between two others 丷}",一,"[[0],[1],[1],[0],[0],[0]]"
夺,⿱大寸,"{type: ideographic, hint: A man 大 grasping something 寸}",大,"[[0],[0],[0],[1],[1],[1]]"
夼,⿱大川,"{type: ideographic, hint: A great 大 river bed 川}",大,"[[0],[0],[0],[1],[1],[1]]"
夾,⿻大从,"{type: ideographic, hint: Two people 从 supporting someone 大 from either side}",大,"[[0],[0],[0],[1],[1],[1],[1]]"
奁,⿱大区,"{type: ideographic, hint: A man 大 packing a suitcase 区}",大,"[[0],[0],[0],[1],[1],[1],[1]]"
奂,⿱⺈央,null,大,"[[0],[0],[1],[1],[1],[1],[1]]"
奄,⿱大电,null,大,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
奇,⿱大可,"{type: ideographic, hint: A person 大 riding a horse 可}",大,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
奈,⿱大示,"{type: ideographic, hint: A man 大 with spirit 示}",大,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
奉,⿱⿻？大？,null,大,"[null,null,[0,1],[0,1],[0,1],null,null,null]"
